iter	RMSE
0	20.48010745
1	19.77598574
2	19.06147705
3	18.37897387
4	17.76485074
5	17.19279263
6	16.57928105
7	16.06499442
8	15.5431929
9	15.04890245
10	14.59040152
11	14.15945511
12	13.73871655
13	13.34038262
14	12.94870474
15	12.58677943
16	12.23369787
17	11.90209161
18	11.61677741
19	11.34354496
20	11.05204378
21	10.78085165
22	10.53093277
23	10.28406196
24	10.07903759
25	9.858358756
26	9.670806149
27	9.481884585
28	9.301669738
29	9.124551396
30	8.972036931
31	8.825413476
32	8.697780761
33	8.572334466
34	8.430049967
35	8.302159613
36	8.177925521
37	8.073468038
38	7.963737733
39	7.861980243
40	7.767292354
41	7.678369677
42	7.602540183
43	7.529260749
44	7.462747806
45	7.40165993
46	7.341871856
47	7.282016525
48	7.229822834
49	7.166863507
50	7.117575182
51	7.071533442
52	7.023063051
53	6.977063859
54	6.936908439
55	6.896613987
56	6.853793988
57	6.814328694
58	6.776082968
59	6.740608596
60	6.709867997
61	6.679432116
62	6.649096316
63	6.617985503
64	6.589658442
65	6.563001059
66	6.536846218
67	6.510682061
68	6.483587062
69	6.459788142
70	6.442601873
71	6.421652502
72	6.397558163
73	6.371516164
74	6.349259983
75	6.329445375
76	6.30967476
77	6.296463131
78	6.275996504
79	6.259471738
80	6.250148835
81	6.237100608
82	6.217716548
83	6.201544219
84	6.19335697
85	6.177963431
86	6.167697431
87	6.157245957
88	6.147224389
89	6.132077615
90	6.120117053
91	6.105973054
92	6.094539764
93	6.082097762
94	6.068688894
95	6.059349011
96	6.049829658
97	6.039519109
98	6.026492116
99	6.014128472
100	6.003096907
101	5.993609795
102	5.983144136
103	5.976646103
104	5.967821918
105	5.959128509
106	5.951947223
107	5.944572002
108	5.933243169
109	5.922918526
110	5.914124178
111	5.900741508
112	5.891741575
113	5.885807949
114	5.880946378
115	5.871967121
116	5.867022683
117	5.860472882
118	5.849309875
119	5.842522422
120	5.83325322
121	5.824238279
122	5.815069377
123	5.807899603
124	5.797615227
125	5.789687412
126	5.78444696
127	5.778856097
128	5.770812325
129	5.764135629
130	5.759339538
131	5.753332845
132	5.745873237
133	5.73813364
134	5.730593264
135	5.723380634
136	5.717064856
137	5.708754056
138	5.704437823
139	5.697727766
140	5.687324412
141	5.679355572
142	5.673867239
143	5.669693118
144	5.663631598
145	5.651917008
146	5.646443558
147	5.640224231
148	5.632887044
149	5.626333508
150	5.621037216
151	5.613510348
152	5.607577909
153	5.602575858
154	5.595732496
155	5.586508986
156	5.579661723
157	5.574699208
158	5.568164136
159	5.560437196
160	5.557342965
161	5.549328163
162	5.544850682
163	5.540108636
164	5.532757793
165	5.528413566
166	5.521337648
167	5.51516763
168	5.505052945
169	5.499779852
170	5.491960129
171	5.487061606
