iter	Passed	Remaining
0	3	2168
1	6	2061
2	11	2211
3	15	2275
4	18	2251
5	23	2336
6	26	2283
7	30	2231
8	33	2186
9	36	2170
10	40	2152
11	43	2136
12	46	2113
13	49	2091
14	53	2069
15	56	2064
16	59	2050
17	62	2030
18	66	2023
19	69	2014
20	72	1997
21	75	1989
22	78	1977
23	83	2005
24	86	1999
25	90	1988
26	93	1993
27	97	1982
28	101	1994
29	105	1995
30	108	1993
31	111	1985
32	115	1977
33	118	1964
34	121	1956
35	124	1953
36	129	1971
37	133	1975
38	136	1966
39	139	1957
40	143	1951
41	146	1950
42	150	1954
43	154	1949
44	157	1944
45	161	1946
46	165	1944
47	168	1937
48	172	1935
49	175	1929
50	179	1928
51	183	1937
52	188	1942
53	192	1946
54	195	1941
55	200	1946
56	204	1943
57	207	1941
58	211	1937
59	214	1930
60	217	1925
61	221	1920
62	224	1914
63	228	1913
64	231	1906
65	234	1900
66	238	1893
67	241	1887
68	244	1880
69	248	1878
70	251	1870
71	254	1864
72	257	1858
73	260	1854
74	264	1849
75	267	1844
76	270	1838
77	274	1834
78	277	1832
79	282	1837
80	286	1836
81	289	1830
82	293	1826
83	296	1820
84	299	1815
85	303	1813
86	306	1808
87	309	1802
88	312	1796
89	316	1794
90	320	1791
91	323	1786
92	326	1781
93	329	1774
94	332	1769
95	335	1763
96	338	1756
97	341	1749
98	344	1744
99	347	1738
100	350	1732
101	353	1727
102	356	1720
103	360	1720
104	364	1717
105	367	1711
106	370	1706
107	373	1701
108	376	1696
109	381	1697
110	384	1693
111	387	1690
112	391	1686
113	394	1682
114	398	1681
115	401	1676
116	404	1670
117	407	1664
118	410	1659
119	413	1654
120	416	1649
121	420	1645
122	424	1645
123	428	1644
124	431	1638
125	434	1633
126	437	1628
127	440	1624
128	443	1619
129	446	1615
130	449	1610
131	453	1607
132	458	1610
133	462	1608
134	466	1605
135	469	1600
136	472	1595
137	475	1592
138	479	1589
139	482	1585
140	485	1580
141	489	1578
142	492	1575
143	495	1570
144	498	1565
145	502	1561
146	505	1556
147	508	1551
148	510	1546
149	513	1541
150	517	1537
151	520	1533
152	523	1528
153	526	1525
154	529	1520
155	532	1516
156	536	1513
157	541	1516
158	545	1513
159	548	1508
160	551	1503
161	554	1499
162	557	1495
163	560	1491
164	564	1488
165	568	1485
166	571	1481
167	574	1477
168	577	1473
169	580	1468
170	583	1464
171	586	1459
172	589	1455
173	592	1451
174	595	1447
175	599	1444
176	602	1440
177	605	1436
178	609	1433
179	612	1428
180	615	1424
181	618	1420
182	621	1416
183	625	1414
184	630	1413
185	633	1410
186	637	1408
187	641	1405
188	645	1403
189	648	1400
190	652	1396
191	655	1392
192	658	1388
193	661	1383
194	664	1379
195	667	1375
196	670	1371
197	673	1367
198	676	1363
199	679	1359
200	682	1355
201	685	1351
202	688	1347
203	692	1343
204	695	1339
205	698	1336
206	701	1332
207	705	1329
208	709	1327
209	713	1324
210	717	1323
211	721	1321
212	725	1318
213	729	1315
214	732	1311
215	735	1307
216	738	1303
217	741	1299
218	745	1296
219	748	1292
220	751	1289
221	755	1286
222	758	1282
223	761	1278
224	765	1275
225	768	1271
226	771	1267
227	774	1263
228	777	1259
229	781	1257
230	784	1253
231	788	1249
232	790	1245
233	793	1241
234	796	1237
235	799	1233
236	803	1230
237	806	1227
238	810	1223
239	813	1220
240	816	1216
241	819	1213
242	823	1210
243	827	1206
244	829	1202
245	832	1198
246	835	1194
247	838	1190
248	841	1186
249	844	1182
250	847	1178
251	850	1174
252	853	1170
253	856	1166
254	859	1162
255	862	1159
256	866	1156
257	870	1154
258	874	1151
259	877	1147
260	880	1144
261	884	1141
262	888	1138
263	891	1134
264	894	1130
265	897	1126
266	901	1123
267	904	1120
268	907	1117
269	911	1114
270	915	1111
271	918	1107
272	921	1104
273	924	1100
274	927	1096
275	930	1092
276	933	1088
277	936	1084
278	939	1081
279	942	1077
280	946	1074
281	950	1071
282	953	1068
283	957	1065
284	960	1061
285	964	1058
286	967	1055
287	970	1051
288	974	1048
289	977	1044
290	980	1040
291	983	1037
292	986	1034
293	990	1030
294	993	1026
295	996	1022
296	998	1018
297	1001	1014
298	1004	1011
299	1008	1008
300	1011	1004
301	1014	1000
302	1017	997
303	1021	994
304	1024	991
305	1027	987
306	1030	983
307	1033	980
308	1036	976
309	1039	972
310	1042	969
311	1046	965
312	1049	962
313	1052	959
314	1056	955
315	1059	952
316	1062	948
317	1066	945
318	1070	942
319	1073	939
320	1076	935
321	1079	931
322	1082	928
323	1085	924
324	1088	920
325	1091	917
326	1095	914
327	1098	911
328	1101	907
329	1104	903
330	1108	900
331	1111	897
332	1114	893
333	1117	890
334	1120	886
335	1124	883
336	1128	880
337	1132	877
338	1135	874
339	1139	871
340	1142	868
341	1145	864
342	1149	860
343	1152	857
344	1155	853
345	1158	850
346	1161	846
347	1163	842
348	1167	839
349	1170	835
350	1175	833
351	1178	830
352	1181	826
353	1184	823
354	1187	819
355	1191	816
356	1194	813
357	1197	809
358	1200	806
359	1204	802
360	1208	799
361	1212	797
362	1216	793
363	1219	790
364	1222	787
365	1225	783
366	1229	780
367	1233	777
368	1236	773
369	1238	770
370	1242	767
371	1246	763
372	1248	760
373	1252	756
374	1255	753
375	1258	749
376	1261	746
377	1264	742
378	1267	739
379	1270	735
380	1274	732
381	1277	729
382	1281	726
383	1285	723
384	1288	719
385	1291	716
386	1294	712
387	1298	709
388	1301	706
389	1305	702
390	1308	699
391	1311	696
392	1314	692
393	1319	689
394	1322	686
395	1326	683
396	1330	680
397	1333	676
398	1336	673
399	1339	669
400	1342	666
401	1345	662
402	1348	659
403	1352	655
404	1355	652
405	1358	649
406	1361	645
407	1364	642
408	1368	638
409	1371	635
410	1374	632
411	1377	628
412	1380	625
413	1384	621
414	1387	618
415	1390	615
416	1393	611
417	1397	608
418	1401	605
419	1404	601
420	1407	598
421	1410	594
422	1413	591
423	1416	587
424	1419	584
425	1422	580
426	1425	577
427	1428	573
428	1431	570
429	1434	567
430	1437	563
431	1440	560
432	1443	556
433	1446	553
434	1449	549
435	1453	546
436	1456	543
437	1460	540
438	1463	536
439	1466	533
440	1469	529
441	1473	526
442	1476	523
443	1479	519
